,date_int,num_of_arti
0,0,138
1,1,133
2,2,133
3,3,133
4,4,133
5,5,130
6,6,131
7,7,129
8,8,130
9,9,131
10,10,132
11,11,132
12,12,127
13,13,131
14,14,133
15,15,134
16,16,136
17,17,136
18,18,136
19,19,134
20,20,138
21,21,139
22,22,137
23,23,137
24,24,138
25,25,137
26,26,132
27,27,132
28,28,134
29,29,135
30,30,134
31,31,136
32,32,137
33,33,129
34,34,129
35,35,132
36,36,131
37,37,135
38,38,135
39,39,137
40,40,138
41,41,137
42,42,141
43,43,137
44,44,140
45,45,140
46,46,142
47,47,135
48,48,137
49,49,141
50,50,143
51,51,141
52,52,141
53,54,137
54,55,136
55,56,137
56,57,139
57,58,139
58,59,140
59,60,139
60,61,128
61,62,127
62,63,126
63,64,130
64,65,129
65,66,129
66,67,129
67,68,131
68,69,132
69,70,131
70,71,132
71,72,133
72,73,133
73,74,132
74,75,127
75,76,127
76,77,118
77,78,120
78,79,119
79,80,117
80,81,117
81,82,117
82,83,119
83,84,120
84,85,121
85,86,121
86,87,121
87,88,121
88,89,119
89,90,118
90,91,118
91,92,119
92,93,120
93,94,122
94,95,122
95,96,118
96,97,118
97,98,117
98,99,119
99,100,122
100,101,122
101,102,123
102,103,115
103,104,118
104,105,120
105,106,121
106,107,120
107,108,121
108,109,123
109,110,120
110,111,122
111,112,118
112,113,121
113,114,121
114,115,121
115,116,123
116,117,115
117,118,118
118,119,118
119,120,121
120,121,122
121,122,122
122,123,123
123,124,113
124,125,118
125,126,119
126,127,119
127,128,121
128,129,122
129,130,123
130,131,116
131,132,119
132,133,119
133,134,118
134,135,119
135,136,120
136,137,122
137,138,123
138,139,124
139,140,123
140,141,123
141,142,123
142,143,125
143,144,127
144,145,123
145,146,121
146,147,125
147,148,125
148,151,128
149,153,125
150,154,124
151,155,122
152,156,125
153,157,123
154,158,122
155,159,120
156,160,124
157,161,123
158,162,124
159,163,125
160,164,125
161,165,127
162,166,120
163,167,117
164,168,120
165,169,121
166,170,122
167,171,124
168,172,123
169,173,117
170,174,120
171,175,124
172,176,123
173,177,123
174,178,124
175,179,124
176,180,121
177,181,123
178,182,122
179,183,124
180,184,124
181,185,123
182,186,123
183,187,126
184,188,127
185,189,126
186,190,128
187,191,126
188,192,129
189,193,130
190,194,126
191,195,129
192,196,128
193,197,127
194,198,126
195,199,126
196,200,124
197,201,105
198,202,120
199,203,123
200,204,123
201,205,125
202,206,127
203,207,128
204,208,132
205,209,132
206,210,132
207,211,133
208,212,132
209,213,129
210,214,131
211,215,131
212,216,132
213,217,133
214,218,133
215,219,133
216,220,133
217,221,133
218,222,129
219,223,132
220,224,131
221,225,132
222,226,131
223,227,133
224,228,133
225,229,133
226,230,132
227,231,133
228,232,132
229,233,131
230,234,133
231,235,132
232,236,120
233,237,119
234,238,119
235,239,119
236,240,122
237,241,124
238,242,126
239,243,125
240,244,127
241,245,126
242,246,125
243,247,127
244,248,127
245,249,127
246,250,130
247,251,130
248,252,132
249,253,132
250,254,130
251,255,130
252,256,131
253,257,131
254,258,131
255,259,131
256,260,129
257,261,128
258,262,128
259,263,129
260,264,127
261,265,129
262,266,125
263,267,128
264,268,127
265,269,130
266,270,129
267,271,128
268,272,129
269,273,127
270,274,130
271,275,124
272,276,129
273,277,128
274,278,125
275,279,128
276,280,124
277,281,126
278,282,127
279,283,128
280,284,128
281,285,125
282,286,130
283,287,127
284,288,128
285,289,127
286,290,127
287,291,129
288,292,122
289,293,126
290,294,124
291,295,126
292,296,124
293,297,124
294,298,125
295,299,126
296,300,127
297,301,127
298,302,128
299,303,129
300,304,123
301,305,123
302,306,118
303,307,117
304,308,118
305,309,120
306,310,120
307,311,119
308,312,122
309,313,125
310,314,122
311,315,124
312,316,123
313,317,124
314,318,124
315,319,123
316,320,125
317,321,123
318,322,124
319,323,124
320,324,126
321,325,125
322,326,127
323,327,129
324,328,132
325,329,131
326,330,131
327,331,130
328,332,129
329,333,131
330,334,129
331,335,130
332,336,134
333,337,126
334,338,126
335,339,126
336,340,127
337,341,126
338,342,132
339,343,135
340,344,128
341,345,128
342,346,129
343,347,128
344,348,121
345,349,126
346,350,125
347,351,122
348,352,122
349,353,126
350,354,129
351,355,130
352,356,136
353,357,143
354,358,141
355,359,125
356,360,113
357,361,115
358,362,117
359,363,117
360,364,137
361,365,128
362,366,118
363,367,117
364,368,116
365,369,114
366,370,115
367,371,117
368,372,118
369,373,117
370,374,119
371,375,120
372,376,117
373,377,116
374,378,117
375,379,120
376,380,119
377,381,120
378,382,120
379,383,119
380,384,118
381,385,120
382,386,122
383,387,122
384,388,122
385,389,123
386,390,113
387,391,115
388,392,117
389,393,114
390,394,116
391,395,118
392,396,117
393,397,115
394,398,115
395,399,115
396,400,115
397,401,116
398,402,116
399,403,116
400,404,122
401,405,121
402,406,122
403,407,121
404,408,120
405,409,125
406,410,123
407,411,124
408,412,121
409,413,121
410,414,122
411,415,123
412,416,124
413,417,123
414,418,119
415,419,121
416,420,118
417,421,120
418,422,119
419,423,119
420,424,118
421,425,118
422,426,118
423,427,118
424,428,118
425,429,118
426,430,118
427,431,118
428,432,111
429,433,114
430,434,116
431,435,117
432,436,117
433,437,118
434,438,119
435,439,108
436,440,109
437,441,112
438,442,112
439,443,113
440,444,117
441,445,117
442,446,117
443,447,119
444,448,119
445,449,118
446,450,119
447,451,119
448,452,120
449,453,114
450,454,121
451,455,121
452,456,123
453,457,122
454,458,124
455,459,121
456,460,114
457,461,115
458,462,116
459,463,116
460,464,116
461,465,116
462,466,114
463,467,112
464,468,120
465,469,118
466,470,117
467,471,117
468,472,118
469,473,119
470,474,111
471,475,111
472,476,108
473,477,108
474,478,113
475,479,114
476,480,113
477,481,110
478,482,112
479,483,109
480,484,107
481,485,109
482,486,110
483,487,109
484,488,111
485,489,114
486,490,112
487,491,114
488,492,113
489,493,113
490,494,113
491,495,107
492,496,112
493,497,117
494,498,113
495,499,115
496,500,118
497,501,117
498,502,115
499,503,115
500,504,115
501,505,112
502,506,116
503,507,116
504,508,120
505,509,104
506,510,111
507,511,114
508,512,115
509,513,115
510,514,120
511,515,123
512,516,127
513,517,123
514,518,121
515,519,120
516,520,120
517,521,120
518,522,120
519,523,119
520,524,124
521,525,121
522,526,123
523,527,122
524,528,126
525,529,124
526,530,124
527,531,129
528,532,128
529,533,126
530,534,118
531,535,122
532,536,124
533,537,119
534,538,126
535,539,126
536,540,126
537,541,129
538,542,129
539,543,128
540,544,111
541,545,114
542,546,115
543,547,114
544,548,114
545,549,118
546,550,117
547,551,114
548,552,116
549,553,115
550,554,117
551,555,117
552,556,114
553,557,118
554,558,116
555,559,117
556,560,118
557,561,118
558,562,120
559,563,119
560,564,119
561,565,121
562,566,125
563,567,126
564,568,124
565,569,127
566,570,126
567,571,126
568,572,126
569,573,127
570,574,126
571,575,125
572,576,126
573,577,128
574,578,129
575,579,116
576,580,120
577,581,121
578,582,120
579,583,118
580,584,119
581,585,120
582,586,112
583,587,113
584,588,116
585,589,114
586,590,116
587,591,119
588,592,118
589,593,111
590,594,118
591,595,116
592,596,115
593,597,114
594,598,114
595,599,114
596,600,111
597,601,115
598,602,113
599,603,117
600,604,120
601,605,123
602,606,123
603,607,113
604,608,120
605,609,116
606,610,116
607,611,116
608,612,116
609,613,118
610,614,123
611,615,117
612,616,119
613,617,118
614,618,120
615,619,121
616,620,121
617,621,122
618,622,124
619,623,122
620,624,120
621,625,121
622,626,121
623,627,121
624,628,122
625,629,125
626,630,123
627,631,122
628,632,119
629,633,120
630,634,121
631,635,106
632,636,110
633,637,111
